index,contact,day,month,duration,campaign,pdays,pdays_d,previous,poutcome,y
0,unknown,5,may,261.0,1,-1,-1,0,unknown,no
1,cellular,28,jul,57.0,5,-1,-1,0,unknown,no
2,cellular,28,jul,110.0,18,-1,-1,0,unknown,no
3,cellular,28,jul,52.0,11,-1,-1,0,unknown,no
4,cellular,20,apr,249.0,2,-1,-1,0,unknown,no
5,cellular,27,may,82.0,2,309,309,1,failure,no
6,cellular,20,nov,283.0,2,189,189,2,other,no
7,cellular,20,apr,211.0,2,152,152,2,failure,no
8,cellular,28,jul,243.0,31,-1,-1,0,unknown,no
9,cellular,20,apr,104.0,1,-1,-1,0,unknown,no
10,cellular,28,jul,52.0,7,-1,-1,0,unknown,no
11,cellular,28,jul,177.0,18,-1,-1,0,unknown,no
12,cellular,28,jul,33.0,3,-1,-1,0,unknown,no
13,cellular,25,jul,153.0,2,-1,-1,0,unknown,no
14,cellular,28,jul,40.0,4,-1,-1,0,unknown,no
15,telephone,28,jul,63.0,6,-1,-1,0,unknown,no
16,cellular,20,nov,207.0,1,-1,-1,0,unknown,no
17,cellular,28,jul,29.0,13,-1,-1,0,unknown,no
18,cellular,28,jul,147.0,3,-1,-1,0,unknown,no
19,cellular,20,nov,56.0,4,-1,-1,0,unknown,no
20,cellular,28,jul,102.0,7,-1,-1,0,unknown,no
21,cellular,20,nov,319.0,1,100,100,2,failure,no
22,cellular,28,jul,151.0,3,-1,-1,0,unknown,no
23,cellular,25,jul,190.0,4,-1,-1,0,unknown,no
24,cellular,20,apr,63.0,4,-1,-1,0,unknown,no
25,cellular,20,nov,303.0,4,-1,-1,0,unknown,no
26,cellular,20,nov,264.0,1,-1,-1,0,unknown,no
27,telephone,28,jul,62.0,8,-1,-1,0,unknown,no
28,cellular,20,nov,75.0,2,-1,-1,0,unknown,no
29,cellular,28,jul,76.0,3,-1,-1,0,unknown,no
30,cellular,20,nov,155.0,1,-1,-1,0,unknown,no
31,cellular,27,may,281.0,4,188,188,1,failure,yes
32,telephone,20,apr,87.0,1,322,322,1,failure,no
33,cellular,28,jul,93.0,11,-1,-1,0,unknown,no
34,cellular,20,nov,167.0,1,-1,-1,0,unknown,no
35,cellular,28,jul,458.0,7,-1,-1,0,unknown,yes
36,cellular,20,nov,564.0,2,183,183,1,failure,no
37,cellular,28,jul,386.0,4,-1,-1,0,unknown,no
38,cellular,28,jul,62.0,3,-1,-1,0,unknown,no
39,cellular,20,nov,268.0,1,-1,-1,0,unknown,no
40,telephone,20,nov,16.0,1,-1,-1,0,unknown,no
41,cellular,28,jul,36.0,5,-1,-1,0,unknown,no
42,cellular,27,may,113.0,1,-1,-1,0,unknown,no
43,cellular,28,jul,334.0,8,-1,-1,0,unknown,no
44,cellular,20,nov,533.0,2,-1,-1,0,unknown,no
45,cellular,28,jul,119.0,4,-1,-1,0,unknown,no
46,telephone,28,jul,29.0,8,-1,-1,0,unknown,no
47,cellular,28,jul,95.0,3,-1,-1,0,unknown,no
48,cellular,28,jul,327.0,3,-1,-1,0,unknown,no
49,cellular,20,nov,57.0,3,-1,-1,0,unknown,no
50,cellular,25,jul,524.0,10,-1,-1,0,unknown,no
51,cellular,25,jul,22.0,16,-1,-1,0,unknown,no
52,cellular,27,may,223.0,3,89,89,2,failure,yes
53,cellular,25,jul,148.0,4,-1,-1,0,unknown,no
54,cellular,27,may,76.0,2,-1,-1,0,unknown,no
55,cellular,20,nov,235.0,3,-1,-1,0,unknown,no
56,telephone,25,jul,279.0,4,-1,-1,0,unknown,yes
57,cellular,25,jul,400.0,2,-1,-1,0,unknown,no
58,cellular,25,jul,87.0,4,-1,-1,0,unknown,no
59,cellular,25,jul,126.0,3,-1,-1,0,unknown,no
60,cellular,20,nov,1532.0,3,-1,-1,0,unknown,yes
61,cellular,27,may,89.0,4,310,310,5,failure,no
62,cellular,27,may,99.0,2,-1,-1,0,unknown,no
63,cellular,20,apr,,3,284,284,1,failure,no
64,cellular,20,apr,82.0,1,-1,-1,0,unknown,no
65,cellular,25,jul,53.0,4,-1,-1,0,unknown,no
66,cellular,27,may,99.0,2,99,99,1,success,no
67,cellular,25,jul,85.0,3,-1,-1,0,unknown,no
68,cellular,25,jul,124.0,2,-1,-1,0,unknown,no
69,cellular,25,jul,67.0,3,-1,-1,0,unknown,no
70,cellular,25,jul,150.0,2,-1,-1,0,unknown,no
71,cellular,25,jul,250.0,3,-1,-1,0,unknown,no
72,cellular,25,jul,946.0,3,-1,-1,0,unknown,yes
73,cellular,25,jul,83.0,10,-1,-1,0,unknown,no
74,cellular,20,nov,156.0,4,-1,-1,0,unknown,no
75,cellular,25,jul,137.0,7,-1,-1,0,unknown,no
76,cellular,20,nov,841.0,2,-1,-1,0,unknown,yes
77,cellular,25,jul,237.0,5,-1,-1,0,unknown,no
78,telephone,25,jul,282.0,9,-1,-1,0,unknown,no
79,cellular,25,jul,41.0,3,-1,-1,0,unknown,no
80,cellular,20,apr,198.0,1,-1,-1,0,unknown,no
81,cellular,25,jul,23.0,16,-1,-1,0,unknown,no
82,cellular,25,jul,135.0,8,-1,-1,0,unknown,no
83,cellular,25,jul,245.0,4,-1,-1,0,unknown,no
84,cellular,25,jul,460.0,5,-1,-1,0,unknown,no
85,cellular,20,apr,253.0,3,151,151,4,failure,no
86,cellular,25,jul,1369.0,9,-1,-1,0,unknown,yes
87,cellular,25,jul,481.0,3,-1,-1,0,unknown,no
88,cellular,25,jul,188.0,14,-1,-1,0,unknown,no
89,cellular,20,nov,88.0,2,112,112,3,other,no
90,cellular,20,nov,279.0,2,-1,-1,0,unknown,no
91,cellular,27,may,112.0,2,-1,-1,0,unknown,no
92,telephone,25,jul,163.0,5,-1,-1,0,unknown,no
93,cellular,25,jul,386.0,2,-1,-1,0,unknown,no
94,cellular,25,jul,198.0,4,-1,-1,0,unknown,no
95,cellular,25,jul,65.0,2,-1,-1,0,unknown,no
96,cellular,25,jul,96.0,3,-1,-1,0,unknown,no
97,telephone,20,apr,151.0,1,-1,-1,0,unknown,no
98,cellular,27,may,183.0,2,-1,-1,0,unknown,no
99,cellular,28,jul,55.0,6,-1,-1,0,unknown,no
100,telephone,28,jul,193.0,3,-1,-1,0,unknown,no
101,cellular,28,jul,104.0,3,-1,-1,0,unknown,no
102,cellular,20,nov,179.0,2,-1,-1,0,unknown,no
103,cellular,28,jul,164.0,2,-1,-1,0,unknown,no
104,cellular,28,jul,50.0,4,-1,-1,0,unknown,no
105,cellular,28,jul,126.0,2,-1,-1,0,unknown,no
106,cellular,26,may,129.0,2,-1,-1,0,unknown,no
107,cellular,26,may,175.0,2,-1,-1,0,unknown,no
108,cellular,20,apr,149.0,1,-1,-1,0,unknown,no
109,cellular,20,nov,198.0,2,-1,-1,0,unknown,no
110,cellular,20,nov,129.0,2,-1,-1,0,unknown,no
111,cellular,28,jul,367.0,2,-1,-1,0,unknown,no
112,cellular,20,nov,224.0,2,183,183,1,failure,no
113,cellular,27,may,161.0,1,-1,-1,0,unknown,no
114,cellular,27,may,189.0,2,-1,-1,0,unknown,yes
115,cellular,28,jul,49.0,2,-1,-1,0,unknown,no
116,cellular,20,nov,157.0,3,-1,-1,0,unknown,no
117,cellular,28,jul,551.0,5,-1,-1,0,unknown,no
118,cellular,28,jul,78.0,2,-1,-1,0,unknown,no
119,cellular,28,jul,173.0,2,-1,-1,0,unknown,no
120,cellular,28,jul,230.0,2,-1,-1,0,unknown,no
121,cellular,20,nov,182.0,2,-1,-1,0,unknown,no
122,cellular,20,nov,386.0,2,-1,-1,0,unknown,no
123,telephone,28,jul,228.0,2,-1,-1,0,unknown,no
124,cellular,20,nov,206.0,2,162,162,3,failure,no
125,cellular,28,jul,163.0,3,-1,-1,0,unknown,no
126,telephone,28,jul,66.0,2,-1,-1,0,unknown,no
127,cellular,28,jul,292.0,2,-1,-1,0,unknown,no
128,cellular,20,nov,43.0,4,189,189,2,failure,no
129,cellular,28,jul,63.0,2,-1,-1,0,unknown,no
130,cellular,20,nov,352.0,3,-1,-1,0,unknown,no
131,cellular,20,apr,129.0,1,322,322,2,failure,no
132,cellular,28,jul,143.0,10,-1,-1,0,unknown,no
133,cellular,28,jul,263.0,2,-1,-1,0,unknown,no
134,cellular,28,jul,143.0,2,-1,-1,0,unknown,no
135,cellular,20,nov,262.0,3,-1,-1,0,unknown,no
136,cellular,20,apr,379.0,3,320,320,2,other,no
137,cellular,20,apr,42.0,3,279,279,5,other,no
138,cellular,20,nov,104.0,5,-1,-1,0,unknown,no
139,telephone,28,jul,59.0,5,-1,-1,0,unknown,no
140,cellular,28,jul,103.0,5,-1,-1,0,unknown,no
141,cellular,28,jul,273.0,2,-1,-1,0,unknown,no
142,cellular,20,nov,128.0,2,-1,-1,0,unknown,no
143,cellular,28,jul,70.0,2,-1,-1,0,unknown,no
144,telephone,28,jul,388.0,2,-1,-1,0,unknown,no
145,cellular,20,nov,165.0,3,-1,-1,0,unknown,no
146,telephone,20,nov,105.0,2,184,184,3,other,no
147,cellular,20,nov,133.0,4,-1,-1,0,unknown,no
148,cellular,28,jul,53.0,2,-1,-1,0,unknown,no
149,cellular,20,nov,434.0,2,181,181,5,other,no
150,cellular,28,jul,194.0,5,-1,-1,0,unknown,no
151,cellular,28,jul,664.0,8,-1,-1,0,unknown,yes
152,cellular,27,may,122.0,2,-1,-1,0,unknown,yes
153,cellular,28,jul,61.0,3,-1,-1,0,unknown,no
154,cellular,28,jul,151.0,3,-1,-1,0,unknown,no
155,cellular,27,may,133.0,2,41,41,5,success,no
156,cellular,20,apr,430.0,1,-1,-1,0,unknown,no
157,cellular,28,jul,219.0,3,-1,-1,0,unknown,no
158,cellular,20,apr,224.0,1,-1,-1,0,unknown,no
159,cellular,27,may,136.0,2,114,114,1,success,no
160,telephone,28,jul,265.0,2,-1,-1,0,unknown,no
161,telephone,28,jul,302.0,2,-1,-1,0,unknown,no
162,cellular,28,jul,228.0,2,-1,-1,0,unknown,no
163,cellular,28,jul,463.0,2,-1,-1,0,unknown,no
164,cellular,28,jul,131.0,7,-1,-1,0,unknown,no
165,cellular,28,jul,699.0,3,-1,-1,0,unknown,yes
166,cellular,28,jul,117.0,3,-1,-1,0,unknown,no
167,cellular,20,apr,151.0,1,-1,-1,0,unknown,no
168,cellular,20,apr,170.0,1,235,235,19,failure,no
169,cellular,27,may,224.0,7,105,105,1,other,no
170,cellular,28,jul,110.0,3,-1,-1,0,unknown,no
171,cellular,28,jul,20.0,4,-1,-1,0,unknown,no
172,cellular,20,nov,470.0,2,-1,-1,0,unknown,no
173,cellular,28,jul,88.0,3,-1,-1,0,unknown,no
174,cellular,28,jul,68.0,3,-1,-1,0,unknown,no
175,cellular,20,apr,107.0,1,-1,-1,0,unknown,no
176,cellular,20,nov,642.0,2,-1,-1,0,unknown,no
177,telephone,28,jul,121.0,2,-1,-1,0,unknown,no
178,cellular,28,jul,84.0,5,-1,-1,0,unknown,no
