기간	자치구	구분	합계	자동차 종류별	자동차 종류별	자동차 종류별	자동차 종류별	자동차 종류별	자동차 종류별
기간	자치구	구분	합계	승용차	승합차	화물차	특수차	이륜차	기타
2015	합계	발생건수	41,665	27,915	2,815	3,117	71	4,713	3,034
2015	합계	사망자수	376	194	47	38	4	66	27
2015	합계	부상자수	58,656	40,866	4,249	4,299	98	5,776	3,368
2015	종로구	발생건수	1,414	919	111	102	2	222	58
2015	종로구	사망자수	8	5	1	-	-	2	-
2015	종로구	부상자수	1,933	1,321	159	122	2	262	67
2015	중구	발생건수	1,338	927	123	96	1	149	42
2015	중구	사망자수	8	4	3	1	-	-	-
2015	중구	부상자수	1,803	1,300	155	121	1	181	45
2015	용산구	발생건수	1,516	1,149	96	72	1	141	57
2015	용산구	사망자수	18	10	-	1	-	3	4
2015	용산구	부상자수	2,110	1,674	128	85	1	159	63
2015	성동구	발생건수	1,227	780	61	127	5	140	114
2015	성동구	사망자수	8	4	-	2	-	2	-
2015	성동구	부상자수	1,725	1,154	76	170	9	180	136
2015	광진구	발생건수	1,235	825	59	84	3	142	122
2015	광진구	사망자수	17	13	2	-	-	1	1
2015	광진구	부상자수	1,744	1,230	71	119	3	184	137
2015	동대문구	발생건수	2,085	1,231	157	195	2	309	191
2015	동대문구	사망자수	16	9	1	2	-	3	1
2015	동대문구	부상자수	2,731	1,719	195	245	2	369	201
2015	중랑구	발생건수	1,722	962	124	196	3	261	176
2015	중랑구	사망자수	16	5	1	2	-	7	1
2015	중랑구	부상자수	2,269	1,351	152	254	5	307	200
2015	성북구	발생건수	1,680	1,076	123	150	-	234	97
2015	성북구	사망자수	19	5	6	2	-	4	2
2015	성북구	부상자수	2,286	1,548	156	192	-	288	102
2015	강북구	발생건수	1,265	748	107	103	2	213	92
2015	강북구	사망자수	16	11	-	2	-	3	-
2015	강북구	부상자수	1,684	1,045	139	117	5	281	97
2015	도봉구	발생건수	914	520	92	89	-	134	79
2015	도봉구	사망자수	8	4	-	1	-	3	-
2015	도봉구	부상자수	1,255	743	138	126	-	162	86
2015	노원구	발생건수	1,459	941	96	114	2	167	139
2015	노원구	사망자수	15	5	3	1	-	1	5
2015	노원구	부상자수	2,098	1,357	200	173	2	211	155
2015	은평구	발생건수	1,203	713	81	103	2	168	136
2015	은평구	사망자수	16	11	-	-	1	2	2
2015	은평구	부상자수	1,673	1,031	120	154	2	211	155
2015	서대문구	발생건수	1,071	665	113	80	2	145	66
2015	서대문구	사망자수	13	5	4	2	-	2	-
2015	서대문구	부상자수	1,492	968	159	117	3	168	77
2015	마포구	발생건수	1,802	1,277	100	103	3	182	137
2015	마포구	사망자수	17	7	1	4	-	4	1
2015	마포구	부상자수	2,730	2,041	154	158	4	227	146
2015	양천구	발생건수	1,596	1,061	85	130	5	170	145
2015	양천구	사망자수	14	6	1	1	-	3	3
2015	양천구	부상자수	2,231	1,511	147	185	7	229	152
2015	강서구	발생건수	1,932	1,258	164	126	7	205	172
2015	강서구	사망자수	12	3	4	2	-	2	1
2015	강서구	부상자수	2,762	1,832	300	185	11	241	193
2015	구로구	발생건수	1,508	942	131	141	5	195	94
2015	구로구	사망자수	19	10	5	1	-	2	1
2015	구로구	부상자수	2,127	1,387	176	193	9	262	100
2015	금천구	발생건수	914	558	76	86	1	132	61
2015	금천구	사망자수	10	7	1	2	-	-	-
2015	금천구	부상자수	1,374	876	118	138	1	174	67
2015	영등포구	발생건수	2,462	1,589	159	209	5	227	273
2015	영등포구	사망자수	28	18	2	2	1	2	3
2015	영등포구	부상자수	3,564	2,393	283	300	8	276	304
2015	동작구	발생건수	1,386	923	87	93	3	182	98
2015	동작구	사망자수	7	3	-	-	-	4	-
2015	동작구	부상자수	1,994	1,389	145	124	3	224	109
2015	관악구	발생건수	1,625	1,126	113	105	1	213	67
2015	관악구	사망자수	12	7	1	1	-	3	-
2015	관악구	부상자수	2,135	1,528	160	126	1	248	72
2015	서초구	발생건수	2,160	1,667	152	119	2	110	110
2015	서초구	사망자수	20	9	4	4	-	3	-
2015	서초구	부상자수	3,358	2,598	317	189	2	128	124
2015	강남구	발생건수	3,970	3,237	166	169	5	264	129
2015	강남구	사망자수	20	14	1	-	1	4	-
2015	강남구	부상자수	5,686	4,751	251	223	4	313	144
2015	송파구	발생건수	2,687	1,795	143	204	7	275	263
2015	송파구	사망자수	16	8	3	2	-	3	-
2015	송파구	부상자수	3,763	2,621	199	289	11	343	300
2015	강동구	발생건수	1,494	1,026	96	121	2	133	116
2015	강동구	사망자수	23	11	3	3	1	3	2
2015	강동구	부상자수	2,129	1,498	151	194	2	148	136
2016	합계	발생건수	40,039	27,052	2,740	2,823	67	4,540	2,817
2016	합계	사망자수	348	168	35	48	3	66	28
2016	합계	부상자수	55,669	39,054	3,963	3,870	107	5,529	3,146
2016	종로구	발생건수	1,299	861	116	104	4	177	37
2016	종로구	사망자수	9	6	1	-	-	1	1
2016	종로구	부상자수	1,748	1,207	155	134	5	210	37
2016	중구	발생건수	1,288	904	118	92	-	135	39
2016	중구	사망자수	17	9	2	2	-	3	1
2016	중구	부상자수	1,716	1,245	158	111	-	159	43
2016	용산구	발생건수	1,428	1,055	74	64	1	147	87
2016	용산구	사망자수	12	7	2	1	-	2	-
2016	용산구	부상자수	2,069	1,600	106	78	2	181	102
2016	성동구	발생건수	1,099	707	40	103	5	162	82
2016	성동구	사망자수	15	7	-	2	1	3	2
2016	성동구	부상자수	1,541	1,039	57	149	4	204	88
2016	광진구	발생건수	1,045	718	64	61	1	122	79
2016	광진구	사망자수	9	2	1	3	-	3	-
2016	광진구	부상자수	1,466	1,041	113	78	1	146	87
2016	동대문구	발생건수	2,051	1,211	143	195	5	335	162
2016	동대문구	사망자수	14	8	2	1	-	2	1
2016	동대문구	부상자수	2,629	1,595	203	256	7	396	172
2016	중랑구	발생건수	1,535	927	96	152	5	217	138
2016	중랑구	사망자수	9	4	2	3	-	-	-
2016	중랑구	부상자수	2,030	1,293	111	193	7	274	152
2016	성북구	발생건수	1,618	1,036	104	152	3	248	75
2016	성북구	사망자수	13	3	1	2	1	6	-
2016	성북구	부상자수	2,106	1,384	144	193	5	300	80
2016	강북구	발생건수	1,227	753	127	89	-	196	62
2016	강북구	사망자수	15	5	1	2	-	6	1
2016	강북구	부상자수	1,678	1,079	187	99	-	243	70
2016	도봉구	발생건수	949	579	66	73	1	141	89
2016	도봉구	사망자수	11	4	2	1	-	2	2
2016	도봉구	부상자수	1,306	846	89	95	4	176	96
2016	노원구	발생건수	1,535	1,025	95	115	3	179	118
2016	노원구	사망자수	13	6	1	3	-	2	1
