index,age,job,marital,education,default,balance,loan
0,58.0,management,married,tertiary,no,2143.0,no
1,34.0,technician,single,tertiary,no,2047.0,no
2,39.0,management,single,tertiary,no,26.0,no
3,40.0,management,married,tertiary,no,0.0,no
4,37.0,technician,single,secondary,no,1127.0,no
5,43.0,management,married,tertiary,no,1336.0,yes
6,54.0,blue-collar,divorced,primary,no,10374.0,no
7,31.0,blue-collar,married,secondary,no,631.0,no
8,31.0,technician,married,tertiary,no,19.0,no
9,52.0,blue-collar,married,secondary,no,782.0,yes
10,31.0,management,single,tertiary,no,949.0,no
11,35.0,technician,single,tertiary,no,670.0,no
12,30.0,technician,single,tertiary,no,190.0,no
13,30.0,management,single,tertiary,no,5074.0,no
14,58.0,retired,married,primary,no,282.0,no
15,45.0,entrepreneur,divorced,primary,no,888.0,no
16,33.0,services,married,secondary,no,2975.0,no
17,36.0,services,divorced,tertiary,no,58.0,no
18,31.0,entrepreneur,married,tertiary,no,5156.0,no
19,32.0,blue-collar,single,secondary,no,3658.0,yes
20,44.0,services,married,secondary,no,908.0,yes
21,47.0,unemployed,married,secondary,no,3533.0,no
22,33.0,blue-collar,married,secondary,no,-77.0,no
23,27.0,management,married,tertiary,no,9630.0,no
24,32.0,technician,married,tertiary,no,3850.0,no
25,37.0,unemployed,married,primary,no,3051.0,no
26,45.0,unemployed,married,tertiary,no,3559.0,yes
27,37.0,management,married,tertiary,no,0.0,no
28,42.0,technician,married,secondary,no,8899.0,no
29,30.0,services,married,primary,no,997.0,no
30,33.0,blue-collar,married,secondary,no,2994.0,no
31,32.0,blue-collar,married,secondary,no,10287.0,no
32,33.0,blue-collar,married,secondary,no,35.0,no
33,49.0,services,married,secondary,no,220.0,no
34,32.0,management,single,tertiary,no,3097.0,no
35,48.0,management,married,secondary,no,268.0,no
36,32.0,blue-collar,single,secondary,no,2696.0,no
37,42.0,blue-collar,married,primary,no,7041.0,no
38,33.0,management,married,tertiary,no,349.0,yes
39,33.0,management,single,tertiary,no,2360.0,no
40,56.0,retired,married,primary,no,1448.0,yes
41,32.0,services,married,secondary,no,0.0,no
42,39.0,entrepreneur,married,secondary,no,3471.0,no
43,27.0,services,married,secondary,no,0.0,no
44,31.0,admin.,married,secondary,no,11839.0,yes
45,37.0,blue-collar,married,secondary,no,965.0,no
46,60.0,retired,single,secondary,no,74.0,no
47,58.0,technician,divorced,secondary,no,-147.0,yes
48,47.0,blue-collar,divorced,primary,yes,0.0,no
49,34.0,blue-collar,married,primary,no,1524.0,no
50,30.0,services,divorced,secondary,no,704.0,no
51,26.0,services,divorced,primary,yes,2.0,yes
52,25.0,admin.,single,tertiary,no,760.0,no
53,32.0,services,married,secondary,no,252.0,yes
54,32.0,blue-collar,single,secondary,no,4339.0,yes
55,30.0,management,single,secondary,no,186.0,no
56,30.0,management,married,tertiary,no,1221.0,no
57,36.0,blue-collar,married,primary,no,345.0,no
58,45.0,services,married,secondary,no,88.0,no
59,36.0,admin.,married,secondary,no,670.0,no
60,31.0,technician,single,tertiary,no,13711.0,no
61,28.0,management,married,tertiary,no,1109.0,no
62,32.0,self-employed,single,tertiary,no,312.0,no
63,32.0,blue-collar,married,primary,no,2.0,yes
64,42.0,blue-collar,married,primary,no,208.0,no
65,40.0,admin.,divorced,secondary,no,274.0,yes
66,52.0,technician,married,secondary,no,196.0,yes
67,49.0,admin.,divorced,secondary,no,560.0,no
68,27.0,admin.,married,secondary,no,158.0,no
69,27.0,technician,single,secondary,no,15.0,no
70,32.0,services,married,secondary,no,194.0,yes
71,36.0,management,married,tertiary,no,909.0,yes
72,51.0,blue-collar,married,primary,no,0.0,yes
73,32.0,services,married,secondary,no,0.0,no
74,37.0,blue-collar,married,primary,no,3370.0,no
75,46.0,housemaid,married,primary,no,312.0,yes
76,45.0,blue-collar,married,primary,no,5461.0,no
77,30.0,technician,married,secondary,no,2371.0,yes
78,58.0,admin.,married,secondary,no,2.0,yes
79,60.0,retired,married,secondary,no,90.0,no
80,50.0,management,divorced,tertiary,no,516.0,yes
81,35.0,management,married,tertiary,no,972.0,yes
82,27.0,technician,single,secondary,no,-646.0,no
83,41.0,blue-collar,married,secondary,no,1915.0,no
84,38.0,blue-collar,married,primary,no,406.0,no
85,32.0,admin.,married,secondary,no,3052.0,yes
86,39.0,technician,married,secondary,no,10685.0,no
87,28.0,admin.,single,secondary,no,649.0,no
88,40.0,management,divorced,tertiary,no,96.0,no
89,55.0,entrepreneur,married,tertiary,no,3459.0,yes
90,31.0,blue-collar,single,secondary,no,297.0,no
91,26.0,student,single,tertiary,no,13107.0,no
92,38.0,admin.,married,primary,no,0.0,yes
93,37.0,management,married,tertiary,no,-70.0,no
94,33.0,technician,married,secondary,no,-74.0,no
95,46.0,blue-collar,married,primary,no,-271.0,no
96,49.0,entrepreneur,married,secondary,no,1147.0,yes
