기간	대분류	분류	여행야외나들이	영상시청	문화예술관람	운동	휴식	종교활동	문화예술참여활동	컴퓨터게임인터넷검색 등	운동경기관람	사회봉사활동	독서	기타
2019	서울시	서울시	38.2	8.3	11.5	9.4	3.1	12.8	3.1	4	4	3.6	1.8	0.2
2019	성별	남자	37.4	8.6	10.5	11.1	3.7	10.1	2.7	5	5.3	3.6	1.7	0.2
2019	성별	여자	39	8.1	12.5	7.9	2.6	15.3	3.4	3.1	2.7	3.5	1.8	0.1
2019	연령별	10대	32.5	7	16	9.5	1.5	7.5	2.7	13.7	4.1	3.4	2.2	-
2019	연령별	20대	40.3	5.6	16.2	8.1	1.9	6.8	3.8	6.6	4.6	3.9	2.2	0.1
2019	연령별	30대	45.2	4.7	12.6	7.9	2.3	10.4	3.1	4.5	3.8	3	2.3	0.1
2019	연령별	40대	41.2	6.6	10.8	8.6	2.7	13.8	3	3.7	4.4	3.3	1.7	0.4
2019	연령별	50대	38	8.1	10.5	10.6	3.7	13.8	3.1	2.6	4.4	3.5	1.6	0.1
2019	연령별	60대 이상	31.3	14.4	8	11.2	4.8	18.2	2.7	1.1	3	3.9	1.2	0.2
2019	학력별	중졸 이하	27.9	17.5	7.7	10.6	5.1	18.7	2.6	2.1	2.5	4.1	1.2	0.1
2019	학력별	고졸 이하	36.9	9.3	11.1	10	3	13.3	3	4	3.8	3.6	1.9	0.1
2019	학력별	대졸 이하	41.4	5.7	12.6	8.8	2.7	11.2	3.3	4.6	4.3	3.4	1.8	0.2
2019	학력별	대학원 이상	38.1	6.6	13.2	11.4	4.1	11	2.1	1.4	4.6	4	3.4	-
2019	소득별	100만원 미만	27.2	15.4	8.7	8.7	7.4	18.5	3	3.5	2.5	2	2.8	0.2
2019	소득별	100-200만원 미만	28.3	17.7	7	12.3	4.5	15.7	2.5	2.7	3.3	3.9	1.8	0.3
2019	소득별	200-300만원 미만	38.5	9.2	9.2	8.7	3.4	13.3	3.2	3.7	4.2	4.8	1.6	0
2019	소득별	300-400만원 미만	38.4	8.1	10.6	9.7	3.3	12.5	3	4.9	4.1	3.6	1.5	0.2
2019	소득별	400-500만원 미만	39.9	7.5	12.3	8.2	2.3	13.1	2.7	3.9	4.5	3.4	2	0.1
2019	소득별	500만원 이상	40.1	6.3	13.3	9.6	2.7	11.6	3.3	4.1	3.9	3.3	1.7	0.2
2019	혼인상태별	기혼	40.2	7.9	10.6	9.6	3.1	14.4	2.9	2.5	3.8	3.2	1.5	0.2
2019	혼인상태별	미혼	37.6	5.9	15.5	9.2	2	7.5	3.4	8	4.6	4.1	2.3	0.1
2019	혼인상태별	이혼/사별/기타	30.7	15.9	7	9.5	5.9	17.3	3.1	1.8	3.1	3.9	1.8	0.1
2019	지역대분류	도심권	37.7	10.5	6.3	15.5	1.6	10.8	2.5	6.3	3.4	3.2	2	0.2
2019	지역대분류	동북권	39.4	8.4	10.2	8.3	2.2	15.3	3.4	3.7	3.5	3.9	1.6	0.1
2019	지역대분류	서북권	42.2	9.6	12.9	8.9	0.5	13.4	1.6	3.1	3.4	3.2	1.1	0.3
2019	지역대분류	서남권	33.3	8.2	12.3	9.7	5.9	11	4.1	4.5	5.2	3.3	2.4	0.1
2019	지역대분류	동남권	41.7	7.1	13.1	9.6	2.4	11.6	2	3.9	3.3	3.7	1.5	0.2
2019	종로구	종로구	46.1	8.5	9.2	7.5	0.6	18.4	2.1	1.9	2.4	2.9	0.4	-
2019	중구	중구	49.8	5.7	3.9	8	4.1	8.7	1.8	10.7	2.6	3.3	1.3	0.1
2019	용산구	용산구	24.8	14.6	5.6	25.5	0.9	6.7	3.1	6.9	4.5	3.4	3.5	0.5
2019	성동구	성동구	38	11	7.1	11.2	0.2	12.1	5.7	4.5	4	4.2	1.9	0.2
2019	광진구	광진구	31	7.6	13.7	8	9.1	7.9	6.5	5.1	4.3	4.9	1.9	0
2019	동대문구	동대문구	40.5	15	6	6.3	2.9	8.3	2.9	5.4	4.3	5.1	3.2	0
2019	중랑구	중랑구	32.4	4.4	6.2	10	3.8	24.1	1.5	4.4	4.7	5.4	3.1	-
2019	성북구	성북구	47.4	7	12.1	9.4	1	12.7	2.6	3	1.9	1.7	1.2	-
2019	강북구	강북구	40.6	11	17.5	8.5	0.1	11.4	1.7	2.1	2.2	4.7	0.4	-
2019	도봉구	도봉구	42.1	7.5	10.7	8.3	0.3	16.1	5.7	3.2	2.6	1.8	1.2	0.6
2019	노원구	노원구	41.3	6.2	8.9	6.1	0.3	24.1	2.2	2.6	3.7	3.8	0.5	0.2
