기간	구분	행동분류별	요일평균	요일평균	요일평균	평일	평일	평일	토요일	토요일	토요일	일요일	일요일	일요일
기간	구분	행동분류별	전체	남자	여자	전체	남자	여자	전체	남자	여자	전체	남자	여자
2019	여가생활시간	여가생활시간	4:41	4:48	4:36	4:13	4:12	4:13	5:44	6:09	5:23	6:09	6:33	5:45
2019	자원봉사 및 무급연수	소계	0:01	0:01	0:02	0:01	0:01	0:01	0:02	0:02	0:03	0:02	0:01	0:03
2019	자원봉사 및 무급연수	비조직 기반(직접) 자원봉사	0:01	0:01	0:01	0:00	0:00	0:01	0:01	0:01	0:01	0:01	0:01	0:01
2019	자원봉사 및 무급연수	조직 및 공동체 기반의 자원봉사	0:01	0:01	0:01	0:01	0:00	0:01	0:01	0:01	0:01	0:01	0:00	0:02
2019	교제 및 참여활동	소계	0:53	0:42	1:03	0:49	0:39	0:58	0:55	0:42	1:06	1:13	0:56	1:28
2019	교제 및 참여활동	교제활동	0:36	0:31	0:42	0:35	0:30	0:40	0:40	0:34	0:46	0:38	0:32	0:45
2019	교제 및 참여활동	참여활동	0:04	0:04	0:04	0:04	0:05	0:04	0:04	0:03	0:04	0:03	0:03	0:03
2019	교제 및 참여활동	종교활동	0:12	0:06	0:17	0:09	0:04	0:14	0:10	0:04	0:15	0:31	0:21	0:40
2019	교제 및 참여활동	의례활동	0:00	0:00	0:00	0:00	0:00	0:00	0:01	0:01	0:01	0:01	0:01	0:01
2019	문화 및 여가활동	소계	3:47	4:05	3:31	3:23	3:32	3:14	4:47	5:25	4:14	4:54	5:36	4:14
2019	문화 및 여가활동	문화 및 관광활동	0:04	0:03	0:04	0:02	0:02	0:02	0:08	0:07	0:09	0:08	0:07	0:09
2019	문화 및 여가활동	미디어를 이용한 여가활동	2:22	2:23	2:22	2:05	2:01	2:07	2:59	3:06	2:54	3:16	3:31	3:01
2019	문화 및 여가활동	스포츠 및 레포츠	0:32	0:39	0:26	0:31	0:35	0:26	0:40	0:50	0:31	0:33	0:45	0:22
2019	문화 및 여가활동	게임 및 놀이	0:22	0:33	0:13	0:19	0:27	0:12	0:30	0:47	0:16	0:31	0:47	0:16
2019	문화 및 여가활동	휴식 관련 행동	0:16	0:16	0:17	0:16	0:15	0:17	0:17	0:18	0:17	0:17	0:17	0:17
2019	문화 및 여가활동	기타 여가활동	0:10	0:12	0:09	0:10	0:12	0:09	0:12	0:17	0:08	0:09	0:09	0:09
