기간	대분류	분류	행복지수 종합	항목별 행복지수	항목별 행복지수	항목별 행복지수	항목별 행복지수	항목별 행복지수
기간	대분류	분류	행복지수 종합	자신의 건강상태	자신의 재정상태	주위 친지 친구와의 관계	가정생활	사회생활
2020	서울시	서울시	6.54	6.99	5.99	6.64	6.67	6.43
2020	성별	남자	6.54	7.03	5.97	6.61	6.66	6.44
2020	성별	여자	6.54	6.95	6.01	6.67	6.67	6.41
2020	연령별	10대	7.46	8.49	6.47	7.58	7.45	7.32
2020	연령별	20대	6.82	7.53	6.04	6.96	6.88	6.65
2020	연령별	30대	6.41	6.87	5.88	6.47	6.6	6.22
2020	연령별	40대	6.18	6.54	5.63	6.23	6.45	6.07
2020	연령별	50대	6.51	6.9	5.98	6.59	6.65	6.46
2020	연령별	60대 이상	6.55	6.82	6.2	6.7	6.59	6.47
2020	학력별	중졸 이하	6.28	6.5	5.86	6.49	6.32	6.24
2020	학력별	고졸 이하	6.65	7.19	6.09	6.74	6.7	6.55
2020	학력별	대졸 이하	6.58	7.07	5.99	6.65	6.75	6.44
2020	학력별	대학원 이상	6.2	6.35	5.73	6.28	6.54	6.09
2020	소득별	100 만원 미만	4.95	5.3	4.21	5.28	5.09	4.86
2020	소득별	100-200만 미만	5.87	6.18	5.22	6.16	5.95	5.86
2020	소득별	200-300만 미만	6.23	6.66	5.57	6.39	6.36	6.16
2020	소득별	300-400만 미만	6.56	7.05	5.98	6.65	6.65	6.45
2020	소득별	400-500만 미만	6.76	7.26	6.21	6.82	6.87	6.64
2020	소득별	500만 이상	6.89	7.35	6.42	6.91	7.04	6.73
2020	혼인상태별	기혼	6.56	6.88	6.08	6.6	6.79	6.45
2020	혼인상태별	미혼	6.57	7.29	5.81	6.74	6.6	6.44
2020	혼인상태별	이혼/사별/기타	6.35	6.77	5.96	6.56	6.2	6.27
2020	지역대분류	도심권	6.38	6.89	5.83	6.48	6.48	6.24
2020	지역대분류	동북권	6.54	6.97	5.95	6.64	6.67	6.45
2020	지역대분류	서북권	6.52	6.99	6.09	6.58	6.6	6.34
2020	지역대분류	서남권	6.5	6.94	5.94	6.61	6.61	6.4
2020	지역대분류	동남권	6.67	7.13	6.11	6.76	6.83	6.52
2020	종로구	종로구	6.46	6.99	5.88	6.66	6.53	6.24
2020	중구	중구	6.44	6.81	5.83	6.56	6.61	6.39
2020	용산구	용산구	6.3	6.87	5.79	6.31	6.37	6.15
2020	성동구	성동구	6.38	6.85	5.81	6.5	6.51	6.21
2020	광진구	광진구	6.38	6.79	5.89	6.49	6.5	6.22
2020	동대문구	동대문구	6.44	7	5.96	6.48	6.47	6.31
2020	중랑구	중랑구	6.55	7.1	5.87	6.66	6.72	6.42
2020	성북구	성북구	6.65	7.18	6.08	6.7	6.73	6.57
2020	강북구	강북구	6.57	6.84	5.9	6.74	6.78	6.58
2020	도봉구	도봉구	6.48	6.83	5.73	6.63	6.69	6.53
2020	노원구	노원구	6.69	7.02	6.15	6.8	6.84	6.63
2020	은평구	은평구	6.52	7	6.13	6.54	6.61	6.31
2020	서대문구	서대문구	6.47	6.85	5.96	6.6	6.56	6.37
2020	마포구	마포구	6.56	7.09	6.15	6.61	6.62	6.35
2020	양천구	양천구	6.63	6.96	6.16	6.75	6.8	6.5
2020	강서구	강서구	6.31	6.81	5.64	6.48	6.4	6.22
2020	구로구	구로구	6.44	6.9	5.91	6.5	6.51	6.36
2020	금천구	금천구	6.28	6.78	5.59	6.46	6.37	6.2
2020	영등포구	영등포구	6.76	7.21	6.34	6.8	6.86	6.6
2020	동작구	동작구	6.53	6.92	5.96	6.57	6.68	6.5
2020	관악구	관악구	6.54	6.98	5.95	6.69	6.64	6.43
2020	서초구	서초구	6.73	7.25	6.31	6.7	6.83	6.58
2020	강남구	강남구	6.73	7.1	6.14	6.83	6.95	6.6
2020	송파구	송파구	6.71	7.26	6.09	6.82	6.9	6.48
2020	강동구	강동구	6.48	6.85	5.9	6.64	6.58	6.43
