시군명,접수일자,발견장소,상태,공고고유번호,공고시작일자,공고종료일자,품종,색상,나이,체중,성별,중성화여부,특징,보호소명,보호소전화번호,보호소도로명주소,보호소지번주소,보호소우편번호,관할기관
이천시,20210411,장호원읍 이황리,보호중,경기-이천-2021-00185,20210411,20210421,[개] 진도견,흰색,2021,4.2,F,N,"겁이다소있으나, 온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,신둔면 원적로,보호중,경기-이천-2021-00191,20210411,20210421,[개] 믹스견,"크림색, 흰색",2021,1.7,F,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
성남시,20210411,동물수호천사,종료(반환),경기-성남-2021-00176,20210411,20210421,[개] 말티즈,백,2015,3.6,F,U,칩 있어서 주인연락됨,펫토피아동물병원,031-714-8392,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1번지 유신제일조합,13601,경기도 성남시
남양주시,20210411,호평파출소,보호중,경기-남양주-2021-00414,20210411,20210421,[개] 말티즈,흰색,2013,4.3,F,N,목줄없고 노랑색 옷착용,남양주동물보호협회,031-591-7270,경기도 남양주시 금곡로 44,경기도 남양주시 금곡동 427-28번지 성원빌딩 1층,12237,경기도 남양주시
이천시,20210411,신둔면 원적로,보호중,경기-이천-2021-00193,20210411,20210421,[개] 믹스견,크림색,2021,2,M,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,신둔면 원적로,보호중,경기-이천-2021-00194,20210411,20210421,[개] 믹스견,크림색,2021,1.9,M,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,신둔면 원적로,보호중,경기-이천-2021-00195,20210411,20210421,[개] 믹스견,"크림색, 흰색",2021,2.1,F,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,장호원읍 장여로,보호중,경기-이천-2021-00197,20210411,20210421,[개] 진도견,크림색,2021,5.3,M,N,"겁이 다소있으나, 온순",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
여주시,20210411,교동 세종로,보호중,경기-여주-2021-00203,20210411,20210421,[고양이] 한국 고양이,삼색,2020,2.8,F,N,몸을 가누지 못함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 여주시
여주시,20210411,북내면 지내리,보호중,경기-여주-2021-00204,20210411,20210421,[고양이] 한국 고양이,"검정색, 흰색",2020,2.3,F,N,"목에 목끈으로 인한 상처, 경계심 다소있음",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 여주시
여주시,20210411,대신면 장풍리,보호중,경기-여주-2021-00205,20210411,20210421,[개] 믹스견,"검정색, 흰색",2021,2,F,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 여주시
이천시,20210411,장호원읍 장여로,보호중,경기-이천-2021-00196,20210411,20210421,[개] 진도견,"황색, 크림색",2021,4.5,F,N,"겁이 다소있으나, 온순",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,신둔면 원적로,보호중,경기-이천-2021-00192,20210411,20210421,[개] 믹스견,크림색,2021,1.8,F,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,장호원읍 서동대로,보호중,경기-이천-2021-00190,20210411,20210421,[개] 믹스견,흰색,2020,4.2,M,N,"겁이 다소있으나, 온순",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,창전동 향교로 한신아파트,보호중,경기-이천-2021-00189,20210411,20210421,[개] 치와와,블랙탄,2013,3.5,M,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,장호원읍 이황리,보호중,경기-이천-2021-00188,20210411,20210421,[개] 진도견,흰색,2021,4.5,M,N,"겁이다소 있으나, 온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,장호원읍 이황리,보호중,경기-이천-2021-00187,20210411,20210421,[개] 진도견,흰색,2021,4,F,N,"겁이다소 있으나, 온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,장호원읍 이황리,보호중,경기-이천-2021-00186,20210411,20210421,[개] 진도견,흰색,2021,3.2,F,N,"겁이다소 있으나, 온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,마장면 지산로 엘지인화원,보호중,경기-이천-2021-00184,20210411,20210421,[개] 믹스견,황갈색,2021,3.8,F,N,매우온순함,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
이천시,20210411,중리동 부악로,보호중,경기-이천-2021-00183,20210411,20210421,[개] 믹스견,회갈색,2020,3.8,M,N,"왼쪽 뒷다리 부상, 겁이다소 있으며, 입질있음",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 이천시
남양주시,20210411,진접파출소,보호중,경기-남양주-2021-00415,20210411,20210421,[개] 푸들,갈색,2019,6.2,M,N,목줄없고 경계함,남양주동물보호협회,031-591-7270,경기도 남양주시 금곡로 44,경기도 남양주시 금곡동 427-28번지 성원빌딩 1층,12237,경기도 남양주시
성남시,20210411,상대원3206,종료(반환),경기-성남-2021-00179,20210411,20210421,[개] 요크셔 테리어,흑갈,2018,5.8,M,N,"귀 염증, 칩 있음.",펫토피아동물병원,031-714-8392,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1번지 유신제일조합,13601,경기도 성남시
성남시,20210411,갈현동112,보호중,경기-성남-2021-00178,20210411,20210421,[개] 비숑 프리제,흰색,2018,5.8,F,U,귀염증,펫토피아동물병원,031-714-8392,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1번지 유신제일조합,13601,경기도 성남시
성남시,20210411,동물수호천사,종료(반환),경기-성남-2021-00177,20210411,20210421,[개] 말티즈,백색,2009,2.7,F,U,"피부병, 귀병심함,치아가 대부분 없음,종이박스에 버려짐",펫토피아동물병원,031-714-8392,경기도 성남시 분당구 불정로 266,경기도 성남시 분당구 수내동 87-1번지 유신제일조합,13601,경기도 성남시
여주시,20210411,대신면 장풍리,보호중,경기-여주-2021-00206,20210411,20210421,[개] 믹스견,"검정색, 흰색",2021,2.7,M,N,"사람을 좋아하며, 매우온순함",위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34,경기도 여주시 능서면 신지리 764-4번지,12641,경기도 여주시
안산시,20210410,성곡동 839-7 근처,보호중,경기-안산-2021-00291,20210410,20210422,[고양이] 한국 고양이,고등어줄무늬,2021,0.1,Q,N,어미 사라짐. 저체온. 수유가 필요한 젖먹이,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208,경기도 안산시 단원구 고잔동 730-3번지 2층 스타캣츠,15466,경기도 안산시
안산시,20210410,성곡동 839-7 근처,보호중,경기-안산-2021-00292,20210410,20210422,[고양이] 한국 고양이,턱시도,2021,0.1,Q,N,어미 사라짐. 저체온. 수유가 필요한 젖먹이,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208,경기도 안산시 단원구 고잔동 730-3번지 2층 스타캣츠,15466,경기도 안산시
안산시,20210410,성곡동 839-7 근처,보호중,경기-안산-2021-00294,20210410,20210422,[고양이] 한국 고양이,올블랙,2021,0.1,Q,N,어미 사라짐. 저체온. 수유가 필요한 젖먹이,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208,경기도 안산시 단원구 고잔동 730-3번지 2층 스타캣츠,15466,경기도 안산시
안산시,20210410,성곡동 839-7 근처,보호중,경기-안산-2021-00293,20210410,20210422,[고양이] 한국 고양이,고등어줄무늬,2021,0.1,Q,N,어미 사라짐. 저체온. 수유가 필요한 젖먹이,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208,경기도 안산시 단원구 고잔동 730-3번지 2층 스타캣츠,15466,경기도 안산시
광주시,20210410,광주시 오포읍 문형산길 일대,보호중,경기-광주-2021-00186,20210410,20210420,[개] 비숑 프리제,흰색,2018,6.8,M,Y,"4-20, 칩없음, 미용되어있음, 치와와와 함께 발견됨",광주TNR동물병원초월,031-798-7581,경기도 광주시 초월읍 현산로385번길 74-12,경기도 광주시 초월읍 지월리 713-2번지,12728,경기도 광주시
양평군,20210410,목왕리19,보호중,경기-양평-2021-00136,20210410,20210420,[개] 믹스견,흰색,2018,10,F,U,순하고 사람을 잘따름,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59,경기도 양평군 양평읍 공흥리 1-2번지,12547,경기도 양평군
광주시,20210410,광주시 초월읍 도평리 일대,보호중,경기-광주-2021-00184,20210410,20210420,[개] 믹스견,갈색,2021,1.8,F,N,"4-18, 2개월령 아가, 귀엽고 사람을 좋아함",광주TNR동물병원초월,031-798-7581,경기도 광주시 초월읍 현산로385번길 74-12,경기도 광주시 초월읍 지월리 713-2번지,12728,경기도 광주시
광주시,20210410,광주시 오포읍 문형산길 일대,보호중,경기-광주-2021-00185,20210410,20210420,[개] 치와와,흰색,2016,2.3,M,Y,"4-19, 칩없음, 미용되어있음, 비숑과 함께 발견됨",광주TNR동물병원초월,031-798-7581,경기도 광주시 초월읍 현산로385번길 74-12,경기도 광주시 초월읍 지월리 713-2번지,12728,경기도 광주시
시흥시,20210409,시흥시농업기술센터에서 인수,보호중,경기-시흥-2021-00219,20210409,20210421,[개] 보더 콜리,흑백,2019,16,F,U,순함.,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50,경기도 안산시 상록구 부곡동 231-5번지 한국야생동물보호협회,15301,경기도 시흥시
시흥시,20210409,시흥시농업기술센터에서 인수,보호중,경기-시흥-2021-00220,20210409,20210421,[고양이] 한국 고양이,갈백,2020,2,M,N,척추마비. 교통사고 추정. 항문 살짝 열려있음. 뒷다리 끌고다님.,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50,경기도 안산시 상록구 부곡동 231-5번지 한국야생동물보호협회,15301,경기도 시흥시
시흥시,20210409,정왕동1500-14 부근,보호중,경기-시흥-2021-00221,20210409,20210421,[개] 푸들,백,2015,3,F,U,순함. 몸 전체 털미용.,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50,경기도 안산시 상록구 부곡동 231-5번지 한국야생동물보호협회,15301,경기도 시흥시
시흥시,20210409,정왕동1500-14 부근,보호중,경기-시흥-2021-00222,20210409,20210421,[개] 말티즈,백,2020,5.6,M,N,순함. 잠복고환 추정.,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50,경기도 안산시 상록구 부곡동 231-5번지 한국야생동물보호협회,15301,경기도 시흥시
안산시,20210409,와동공원로7길 61-1 공영주차장,종료(자연사),경기-안산-2021-00288,20210409,20210421,[고양이] 한국 고양이,흰바탕고등어,2020,2,F,U,심각한 호흡기 질환 및 탈진상태. 항문에 다량의 구더기. 기력없음. 예후불량,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208,경기도 안산시 단원구 고잔동 730-3번지 2층 스타캣츠,15466,경기도 안산시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00331,20210410,20210420,[개] 믹스견,"황색, 흰색",2021,2.6,M,U,강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00330,20210410,20210420,[개] 믹스견,옅은 황색,2021,2.4,M,U,강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
연천군,20210409,군남면 옥계리 769 인근 야산일원,보호중,경기-연천-2021-00102,20210410,20210420,[개] 믹스견,노/흰,2020,15,M,N,우후지/좌전기 개방성골절. 경계함. 입질있음. ,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1번지,11409,경기도 연천군
김포시,20210409,월곶면 오리정로 13 김포농업기술센터 인근,종료(자연사),경기-김포-2021-00165,20210410,20210420,[개] 믹스견,갈/흰,2021,3.8,F,U,양귀쫑긋. 몸을잘못가눔. 낑낑댐. 움찔거림(홍역/파보:음성). 4개월추정.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1번지,11409,경기도 김포시
구리시,20210409,수택동 377-27 일대,보호중,경기-구리-2021-00041,20210410,20210420,[개] 믹스견,흰,2021,4,M,N,양귀끝접힘. 기침심함. 온순함. 얌전함. 혈변.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1번지,11409,경기도 구리시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00335,20210410,20210420,[개] 믹스견,황색,2021,2.4,F,N,아기 강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00332,20210410,20210420,[개] 믹스견,"흰색, 황색",2021,2.1,F,U,강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
고양시,20210409,행주외동 201,보호중,경기-고양-2021-00333,20210410,20210420,[개] 믹스견,"옅은황색, 흰색",2021,2.5,M,U,강아지,고양시동물보호센터,031-962-3232,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 고양시동물보호센터,10563,경기도 고양시
